providerID|providerName|title|media_name|season_number|episode_number|sort_title|title_brief|title_medium|series_stacked
RDS.ca|RDS|ATP World Tour Masters 1000||2022|00000|ATP World Tour Masters|ATP World Tour Mast|ATP World Tour Masters 1000: Open d|false
RDS.ca|RDS|PGA Tour RDS||2022|00000|PGA TOUR: Champ. du mo|PGA TOUR: Champ. du|PGA TOUR: Champ. du monde de Golf-|false
RDS.ca|RDS|L'antichambre||2022|00000|L'Antichambre - Ep. 16|L'Antichambre - Ep.|L'Antichambre - Ep. 160|false
Global|Global|Hot Ones||16|00008|s16.e008 HotOnes|s16.e08 HotOnes|S.16 E.08 - Hot Ones|false
craveessential.com|CraveTV - Essential|Super Pumped: The Battle for Uber||1|00005|S.01 E.05 - Super Pump|S.01 E.05 - Super P|S.01 E.05 - Super Pumped: The Battl|true
discoveryap.ca|Animal Planet - DAI|Born Mucky: Life On The Farm||1|00009|S.01 E.09 - Born Mucky|S.01 E.09 - Born Mu|S.01 E.09 - Born Mucky: Life On The|true
discoverychannel.ca|Discovery Channel - DAI|Street Outlaws: Gone Girl||1|00004|S.01 E.04 - Street Out|S.01 E.04 - Street|S.01 E.04 - Street Outlaws: Gone Gi|true
nickplus.com|Nick+|Rugrats||1|00006|s01.e006 Rugrats21|s01.e06 Rugrats21|S.01 E.06 - Rugrats|false
nickplus.com|Nick+|It's Pony||2|00013|s02.e013 ItsPony|s02.e13 ItsPony|S.02 E.13 - It's Pony|false
discoverychannel.ca|Discovery Channel - DAI|Scrap Kings||4|00003|S.04 E.03 - Scrap King|S.04 E.03 - Scrap K|S.04 E.03 - Scrap Kings|true
aetv.com|A&E|Zombie House Flipping||4|00010||Zombie S04 Ep10|Zombie House Flipping S04 Ep10|false
CTV|CTV|W5||56|00024|79779672|S.56 E.24 - W5|S.56 E.24 - W5|false
craveessential.com|CraveTV - Essential|Billions||6|00010|S.06 E.10 - Billions|S.06 E.10 - Billion|S.06 E.10 - Billions|true
RDS.ca|RDS|UFC||2022|00000|UFC Fight Night 2022 -|UFC Fight Night 202|UFC Fight Night 2022 - combats prél|false
ctvnews.ca|CTV News|CTV National News with Sandie Rinaldo||2022|00025|S.2022 E.0326 - CTV Na|S.2022 E.0326 - CTV|S.2022 E.0326 - CTV National News w|false
RDS.ca|RDS|ATP World Tour Masters 1000||2022|00000|ATP World Tour Masters|ATP World Tour Mast|ATP World Tour Masters 1000: Open d|false
vrak.tv|Vrak 2021|Big Brother 7/7||2|00076|S.02 E.76 - Big Brothe|S.02 E.76 - Big Bro|S.02 E.76 - Big Brother 7/7|true
www.src.ca|SRC|Deuxième chance||05|00008|s05.e08 Deuxième ch|s05.e08 Deuxième ch|S.05 E.08 Deuxième chance|true
RDS.ca|RDS|Qualifications Formule 1||2022|00000|Qualifications Formule|Qualifications Form|Qualifications Formule 1: Le Grand|false
discoverychannel.ca|Discovery Channel - DAI|Street Outlaws: America's List After Hours||1|00002|S.01 E.02 - Street Out|S.01 E.02 - Street|S.01 E.02 - Street Outlaws: America|true
www.src.ca|SRC|La semaine verte||51|00029|s51.e29 La semaine|s51.e29 La semaine|S.51 E.29 La semaine verte|true
tsn.com|TSN|Formula 2||2022|00000|Formula 2 Sprint Race:|Formula 2 Sprint Ra|Formula 2 Sprint Race: Jeddah|false
telequebec.ca|Tele Quebec|Cette année-là||04|00024|s04.e24 Cette année|s04.e24 Cette année|S.04 E.24 Cette année-là|true
tva.ca|TVA|La Liste Noire Vf De The Blacklist||8|00011|s.8e.11 La Liste Noir|S.8 E.11 La Liste|S.8 E.11 - La Liste Noire Vf De The|false
tva.ca|TVA|Le Tricheur||11|01795|s.11e.1795 Le Tricheur|S.11 E.1795 Le Tri|S.11 E.1795 - Le Tricheur|false
DJE|Disney Jr.|Alice's Wonderland Bakery||1|00009|s01.e009 AliceBake|s01.e09 AliceBake|S.01 E.09 - Alice's Wonderland Bake|false
DJE|Disney Jr.|Spidey and His Amazing Friends||1|00022|s01.e022 SpideyFri|s01.e22 SpideyFri|S.01 E.22 - Spidey and His Amazing|false
DJE|Disney Jr.|Puppy Dog Pals||5|00016|s05.e016 PuppyDog|s05.e16 PuppyDog|S.05 E.16 - Puppy Dog Pals|false
YTV|YTV|Rugrats||1|00006|s01.e006 Rugrats21|s01.e06 Rugrats21|S.01 E.06 - Rugrats|false
YTV|YTV|It's Pony||2|00013|s02.e013 ItsPony|s02.e13 ItsPony|S.02 E.13 - It's Pony|false
cartoon.ca|Cartoon Network|Regular Show||6|00024|s06.e024 RegularSh|s06.e24 RegularSh|S.06 E.24 - Regular Show|false
cartoon.ca|Cartoon Network|Regular Show||6|00023|s06.e023 RegularSh|s06.e23 RegularSh|S.06 E.23 - Regular Show|false
tva.ca|TVA|J.E||29|00023|s.29e.23 J.E|S.29 E.23 J.E|S.29 E.23 - J.E|false
tva.ca|TVA|Ça Finit Bien La Semaine||12|00024|s.12e.24 Ça Finit Bie|S.12 E.24 Ça Finit|S.12 E.24 - Ça Finit Bien La Semain|false
disneyfr.com|La chaine Disney|Bluey||2|00017|s02.e017 BlueyFR|s02.e17 BlueyFR|S.02 E.17 - Bluey|false
disneyfr.com|La chaine Disney|Gigantosaurus||2|00008|s02.e008 GigantoFR|s02.e08 GigantoFR|S.02 E.08 - Gigantosaurus|false
tva.ca|TVA|Bien||5|00026|s.5e.26 Bien|S.5 E.26 Bien|S.5 E.26 - Bien|false
aetv.com|A&E|Flipping Down South||1|00003||South S01 Ep03|Flipping Down South S01 Ep03|false
bbcearth.com|BBC Earth|The Mating Game||1|00003|The Mating Game|S1 E03 The Mating G|S.1 E.03 The Mating Game|false
noovo.ca|Noovo 2021|RPM||23|00024|S.23 E.24 - RPM|S.23 E.24 - RPM|S.23 E.24 - RPM|true
Food.com|Food |The Kitchen||29|00020|s29.e020 Kitchen|s29.e20 Kitchen|S.29 E.20 - The Kitchen|false
Food.com|Food |The Pioneer Woman||28|00012|s28.e012 PioneerWo|s28.e12 PioneerWo|S.28 E.12 - The Pioneer Woman|false
HGTV.com|HGTV|Build It Forward||1|00003|s01.e003 BuildFwd|s01.e03 BuildFwd|S.01 E.03 - Build It Forward|false
Food.com|Food |Diners\, Drive-Ins\, and Dives||36|00001|s36.e001 DDandD|s36.e01 DDandD|S.36 E.01 - Diners\, Drive-Ins\, and|false
STARZ|STARZ|Shining Vale||1|00005|S.01 E.05 - Shining Va|S.01 E.05 - Shining|S.01 E.05 - Shining Vale|true
History.com|HIST|History's Greatest Mysteries||3|00002|s03.e002 HGMysteri|s03.e02 HGMysteri|S.03 E.02 - History's Greatest Myst|false
tva.ca|TVA|Trois Fois Par Jour & Vous||1|00025|s.1e.25 Trois Fois Pa|S.1 E.25 Trois Foi|S.1 E.25 - Trois Fois Par Jour & Vo|false
tva.ca|TVA|Les Feux De L'amour||17|00121|s.17e.121 Les Feux De|S.17 E.121 Les Feu|S.17 E.121 - Les Feux De L'amour|false
tva.ca|TVA|Top Modèles||30|00128|s.30e.128 Top Modèles|S.30 E.128 Top Mod|S.30 E.128 - Top Modèles|false
tva.ca|TVA|Du Talent À Revendre||16|00025|s.16e.25 Du Talent À|S.16 E.25 Du Talen|S.16 E.25 - Du Talent À Revendre|false
TV5.ca|TV5|Des Suisses à Los Angeles||01|00001|S.01 E.01 Des Suisses|Épisode 1|Des Suisses à Los Angeles S.01 E.01|false
SuperEcran.com|Super Ecran 2019|Yellowjackets||1|00008|S.01 E.08 - Yellowjack|S.01 E.08 - Yellowj|S.01 E.08 - Yellowjackets|true
cravefrench.com|CraveTV - FR|Yellowjackets||1|00008|S.01 E.08 - Yellowjack|S.01 E.08 - Yellowj|S.01 E.08 - Yellowjackets|true
YTV|YTV|The Patrick Star Show||1|00018|s01.e018 Patrick15|s01.e18 Patrick15|S.01 E.18 - The Patrick Star Show|false
YTV|YTV|The Loud House||6|00005|s06.e005 LoudHouse|s06.e05 LoudHouse|S.06 E.05 - The Loud House|false
familyjr|Family Jr|Super Wings||04|00020|s.04e.020 Super Wings|Super Wings - S.04|Super Wings - S.04 E.20|false
familyjr|Family Jr|Super Wings||04|00019|s.04e.019 Super Wings|Super Wings - S.04|Super Wings - S.04 E.19|false
toone.ca|Teletoon EN|Teen Titans Go!||2|00043|s02.e043 TeenTitan|s02.e43 TeenTitan|S.02 E.43 - Teen Titans Go!|false
tooneFR.ca|Teletoon FR|Looney Tunes Cartoons||1|00039|s01.e039 LooneyFR|s01.e39 LooneyFR|S.01 E.39 - Looney Tunes Cartoons|false
familyjr|Family Jr|Polly Pocket||04|00015|s.04e.015 Polly Pocket|Polly Pocket - S.04|Polly Pocket - S.04 E.15|false
familyjr|Family Jr|Polly Pocket||04|00016|s.04e.016 Polly Pocket|Polly Pocket - S.04|Polly Pocket - S.04 E.16|false
STARZ|STARZ|Power Book IV: Force||1|00008|S.01 E.08 - Power Book|S.01 E.08 - Power B|S.01 E.08 - Power Book IV: Force|true
tooneFR.ca|Teletoon FR|DC Superhero Girls||2|00013|s02.e013 DCGirlsFR|s02.e13 DCGirlsFR|S.02 E.13 - DC Superhero Girls|false
nickplus.com|Nick+|The Loud House||6|00005|s06.e005 LoudHouse|s06.e05 LoudHouse|S.06 E.05 - The Loud House|false
familyjr|Family Jr|Dog Loves Books||01|00008|s.01e.008 Dog Loves Bo|Dog Loves Books - S|Dog Loves Books - S.01 E.08|false
familyjr|Family Jr|Dog Loves Books||01|00007|s.01e.007 Dog Loves Bo|Dog Loves Books - S|Dog Loves Books - S.01 E.07|false
toone.ca|Teletoon EN|Teen Titans Go!||6|00043|s06.e043 TeenTitan|s06.e43 TeenTitan|S.06 E.43 - Teen Titans Go!|false
toone.ca|Teletoon EN|Teen Titans Go!||4|00043|s04.e043 TeenTitan|s04.e43 TeenTitan|S.04 E.43 - Teen Titans Go!|false
toone.ca|Teletoon EN|We Baby Bears||1|00013|s01.e013 BabyBears|s01.e13 BabyBears|S.01 E.13 - We Baby Bears|false
